day,date,new_cases_smoothed,cum_deaths
0,2021-06-01,526.714,362.0
1,2021-06-02,627.857,364.0
2,2021-06-03,737.857,365.0
3,2021-06-04,825.0,374.0
4,2021-06-05,820.714,374.0
5,2021-06-06,901.714,383.0
6,2021-06-07,973.429,383.0
7,2021-06-08,986.857,388.0
8,2021-06-09,976.429,392.0
9,2021-06-10,1027.143,402.0
10,2021-06-11,1072.714,408.0
11,2021-06-12,1224.857,423.0
12,2021-06-13,1291.714,428.0
13,2021-06-14,1305.429,434.0
14,2021-06-15,1407.429,459.0
15,2021-06-16,1445.714,508.0
16,2021-06-17,1466.571,542.0
17,2021-06-18,1466.286,584.0
18,2021-06-19,1418.0,626.0
19,2021-06-20,1366.571,660.0
20,2021-06-21,1368.571,680.0
21,2021-06-22,1268.571,714.0
22,2021-06-23,1232.714,752.0
23,2021-06-24,1188.857,781.0
24,2021-06-25,1111.857,830.0
25,2021-06-26,1047.0,868.0
26,2021-06-27,978.714,903.0
27,2021-06-28,915.714,956.0
28,2021-06-29,861.857,989.0
29,2021-06-30,816.714,1023.0
30,2021-07-01,785.286,1061.0
31,2021-07-02,788.571,1111.0
32,2021-07-03,763.857,1111.0
33,2021-07-04,748.857,1111.0
34,2021-07-05,718.143,1966.0
35,2021-07-06,731.429,1995.0
36,2021-07-07,714.571,2012.0
37,2021-07-08,649.571,2033.0
38,2021-07-09,579.714,2062.0
39,2021-07-10,557.571,2090.0
40,2021-07-11,520.143,2104.0
41,2021-07-12,520.0,2129.0
42,2021-07-13,520.0,2164.0
43,2021-07-14,527.857,2203.0
44,2021-07-15,499.857,2249.0
45,2021-07-16,482.0,2286.0
46,2021-07-17,459.857,2324.0
47,2021-07-18,444.857,2353.0
48,2021-07-19,414.286,2392.0
49,2021-07-20,388.0,2412.0
50,2021-07-21,355.429,2425.0
51,2021-07-22,325.0,2483.0
52,2021-07-23,313.714,2496.0
53,2021-07-24,305.857,2526.0
54,2021-07-25,299.857,2557.0
55,2021-07-26,295.429,2579.0
56,2021-07-27,269.286,2590.0
57,2021-07-28,280.0,2605.0
58,2021-07-29,275.286,2632.0
59,2021-07-30,280.714,2661.0
60,2021-07-31,258.857,2690.0
61,2021-08-01,243.571,2696.0
62,2021-08-02,243.0,2710.0
63,2021-08-03,248.857,2725.0
64,2021-08-04,231.0,2734.0
65,2021-08-05,231.714,2752.0
66,2021-08-06,221.571,2771.0
67,2021-08-07,221.0,2785.0
68,2021-08-08,218.286,2793.0
69,2021-08-09,207.143,2808.0
70,2021-08-10,202.571,2812.0
71,2021-08-11,189.714,2821.0
72,2021-08-12,188.571,2832.0
73,2021-08-13,181.571,2856.0
74,2021-08-14,172.0,2863.0
75,2021-08-15,180.571,2882.0
76,2021-08-16,178.429,2893.0
77,2021-08-17,175.857,2905.0
78,2021-08-18,175.286,2917.0
79,2021-08-19,175.571,2931.0
80,2021-08-20,136.571,2931.0
81,2021-08-21,110.714,2931.0
82,2021-08-22,66.571,2931.0
83,2021-08-23,3093.286,2960.0
84,2021-08-24,3102.0,2962.0
85,2021-08-25,3106.143,2968.0
86,2021-08-26,3098.286,2973.0
87,2021-08-27,3124.857,2981.0
88,2021-08-28,3155.857,2985.0
89,2021-08-29,3182.714,2991.0
90,2021-08-30,149.714,3006.0
91,2021-08-31,145.0,3012.0
92,2021-09-01,148.286,3023.0
93,2021-09-02,152.429,3031.0
94,2021-09-03,150.0,3038.0
95,2021-09-04,131.714,3041.0
96,2021-09-05,121.286,3045.0
97,2021-09-06,119.571,3053.0
98,2021-09-07,114.143,3061.0
99,2021-09-08,110.286,3068.0
100,2021-09-09,111.714,3074.0
101,2021-09-10,112.714,3085.0
102,2021-09-11,118.571,3092.0
103,2021-09-12,132.714,3095.0
104,2021-09-13,132.143,3099.0
105,2021-09-14,129.0,3103.0
106,2021-09-15,120.0,3106.0
107,2021-09-16,113.429,3115.0
108,2021-09-17,116.857,3119.0
109,2021-09-18,112.429,3123.0
110,2021-09-19,100.286,3128.0
111,2021-09-20,98.571,3129.0
112,2021-09-21,112.571,3130.0
113,2021-09-22,116.429,3135.0
114,2021-09-23,115.286,3137.0
115,2021-09-24,131.286,3140.0
116,2021-09-25,140.429,3143.0
117,2021-09-26,138.429,3145.0
118,2021-09-27,138.286,3146.0
119,2021-09-28,133.571,3148.0
120,2021-09-29,134.714,3152.0
121,2021-09-30,140.143,3156.0
122,2021-10-01,119.857,3159.0
123,2021-10-02,113.0,3159.0
124,2021-10-03,113.571,3160.0
125,2021-10-04,113.429,3162.0
126,2021-10-05,108.286,3163.0
127,2021-10-06,106.429,3165.0
128,2021-10-07,97.429,3170.0
129,2021-10-08,99.286,3172.0
130,2021-10-09,98.143,3174.0
131,2021-10-10,95.714,3176.0
132,2021-10-11,99.571,3177.0
133,2021-10-12,101.429,3179.0
134,2021-10-13,96.286,3179.0
135,2021-10-14,95.714,3179.0
136,2021-10-15,87.429,3180.0
137,2021-10-16,78.571,3182.0
138,2021-10-17,77.143,3185.0
139,2021-10-18,75.0,3185.0
140,2021-10-19,67.857,3187.0
141,2021-10-20,71.429,3188.0
142,2021-10-21,71.714,3192.0
143,2021-10-22,69.714,3194.0
144,2021-10-23,78.714,3198.0
145,2021-10-24,74.857,3200.0
146,2021-10-25,71.0,3200.0
147,2021-10-26,72.143,3200.0
148,2021-10-27,71.0,3204.0
149,2021-10-28,70.571,3209.0
150,2021-10-29,66.143,3210.0
151,2021-10-30,61.429,3215.0
152,2021-10-31,65.857,3215.0
